night_date,n_plateaus,max_depth,base_level,top_level,total_range,dur_cv,count_cv,break_frac,spacing_cv,stack_symmetry,intra_dur_cv,frac_high,frac_vhigh,n_d1,n_d2,n_d3,n_phases,mean_phase_dur,phase_dur_cv,mean_phase_std,std_ratio_2nd_1st,dur_ratio_2nd_1st,n_nadirs,nadir_mean,nadir_std,nadir_range,nadir_slope
2024-12-08,15,4,51.6,65.1,13.5,0.8,0.624,0.4,0.786,0.214,0.654,0.571,0.098,14,10,5,29,19.8,0.523,3.53,0.995,1.058,28,55.9,3.29,13.5,-0.208
2024-12-09,13,5,53.5,70.1,16.6,0.566,0.454,0.615,0.659,0.435,1.092,1.615,0.962,12,9,6,23,19.7,0.516,3.3,1.255,0.68,22,60.5,5.21,17.2,-0.742
2024-12-10,11,3,52.6,61.5,8.9,0.64,0.621,0.545,0.695,0.122,0.57,0.448,0.102,10,8,3,19,17.1,0.368,3.66,1.086,1.117,18,56.9,2.7,8.9,-0.007
2024-12-11,11,5,53.1,65.0,11.9,0.682,0.536,0.545,0.658,0.343,0.841,0.738,0.172,10,8,5,24,17.7,0.374,4.01,0.841,0.864,23,58.0,3.35,12.6,-0.284
2024-12-12,13,3,54.0,63.1,9.1,0.581,0.682,0.462,0.733,0.259,0.629,0.545,0.127,12,8,2,24,17.2,0.389,4.23,1.231,1.02,23,58.6,2.66,9.1,-0.035
2024-12-13,10,5,52.9,64.4,11.5,0.516,0.31,0.6,0.543,0.452,0.953,1.526,0.557,9,7,5,21,19.0,0.419,3.72,0.758,1.207,20,60.2,3.19,11.5,0.358
2024-12-14,29,8,52.4,87.0,34.6,0.754,0.616,0.379,0.706,0.274,0.718,2.677,1.717,28,26,22,48,21.7,0.534,4.3,1.478,1.329,47,66.1,8.37,34.6,0.168
2024-12-15,9,4,71.7,88.8,17.1,0.498,0.465,0.444,0.665,0.475,0.93,1.271,1.271,8,6,3,14,19.6,0.565,3.41,1.304,1.404,13,81.4,6.03,19.1,-0.759
2024-12-16,15,4,50.9,64.1,13.2,0.628,0.471,0.4,0.996,0.236,0.569,1.334,0.547,14,10,6,26,19.2,0.437,3.65,1.03,1.11,25,57.6,2.77,13.2,-0.056
2024-12-17,12,4,55.1,68.7,13.6,0.639,0.697,0.583,0.961,0.294,0.857,1.013,0.424,11,9,4,23,16.3,0.477,3.15,1.038,0.79,22,61.8,3.39,14.1,-0.283
2024-12-18,9,3,55.7,64.9,9.2,0.711,0.841,0.667,0.88,0.503,0.954,0.476,0.161,8,3,1,21,19.9,0.469,3.22,1.139,0.896,20,60.2,2.97,10.1,-0.299
2024-12-19,15,4,51.8,65.6,13.8,0.478,0.667,0.733,0.725,0.408,0.836,1.812,1.119,14,12,6,24,17.6,0.449,3.74,1.141,0.623,23,59.6,3.91,14.5,-0.219
2024-12-20,11,4,51.4,61.8,10.4,0.751,0.813,0.364,0.599,0.187,0.534,0.512,0.203,10,9,4,24,18.1,0.404,3.83,0.939,1.091,23,56.2,2.53,10.4,-0.151
2024-12-21,16,4,51.5,60.6,9.1,0.573,0.559,0.438,0.639,0.273,0.689,0.646,0.171,15,12,7,27,17.4,0.316,3.77,0.905,0.897,26,56.3,2.63,9.1,0.046
2024-12-22,12,3,53.0,65.1,12.1,0.734,0.77,0.583,0.937,0.257,0.694,0.602,0.297,11,6,1,31,18.9,0.369,3.04,1.023,0.944,30,57.3,3.61,13.5,-0.176
2024-12-23,13,6,54.1,73.1,19.0,0.76,0.484,0.615,0.613,0.298,1.026,1.002,0.817,12,9,7,22,18.5,0.431,2.88,1.052,0.888,21,61.9,5.39,19.0,-0.794
2024-12-24,10,3,50.4,61.9,11.5,0.465,0.766,0.7,1.073,0.665,1.058,0.838,0.321,9,4,1,22,19.7,0.408,3.23,0.891,0.973,21,56.3,4.84,13.1,-0.626
2024-12-25,16,4,49.8,61.9,12.1,0.726,0.839,0.75,1.008,0.284,1.065,0.408,0.079,15,8,6,30,21.7,0.431,3.39,1.042,1.044,29,54.4,3.43,12.1,-0.173
2024-12-26,11,5,51.2,65.6,14.4,0.701,0.536,0.727,0.801,0.442,1.035,0.742,0.287,10,7,4,26,18.4,0.342,2.87,1.058,0.975,25,57.5,3.7,14.4,-0.439
2024-12-27,6,2,54.5,61.8,7.3,0.565,0.5,0.667,0.697,0.271,0.429,0.252,0.0,5,2,0,18,18.6,0.36,3.38,1.199,0.931,17,58.5,2.63,8.3,-0.179
2024-12-28,13,4,52.2,62.9,10.7,0.65,0.644,0.308,0.715,0.352,0.464,0.696,0.278,12,9,4,35,17.0,0.297,3.24,1.088,1.197,34,58.6,3.24,12.1,0.014
2024-12-29,10,4,53.4,64.2,10.8,0.783,0.612,0.9,0.596,0.164,1.1,0.257,0.074,9,7,3,26,18.2,0.41,3.52,1.136,0.704,25,58.2,2.48,10.8,-0.238
2024-12-30,12,3,52.8,64.6,11.8,0.646,0.609,0.583,0.89,0.242,0.723,0.478,0.097,11,7,2,26,16.3,0.37,3.46,1.076,0.954,25,57.3,2.93,11.8,-0.265
2024-12-31,14,6,49.5,66.3,16.8,0.645,0.577,0.571,0.503,0.311,0.827,1.889,1.834,13,11,7,28,20.3,0.328,3.7,0.938,0.993,27,58.9,4.68,16.8,-0.448
2025-01-01,8,2,55.7,63.7,8.0,0.49,0.573,0.875,0.591,0.171,0.758,0.327,0.0,7,4,0,24,21.0,0.521,2.79,0.885,1.466,23,59.9,1.99,8.0,-0.031
2025-01-02,17,3,57.2,68.2,11.0,0.613,0.703,0.529,1.105,0.184,0.735,0.422,0.091,16,11,3,38,19.2,0.347,3.5,1.207,0.992,37,61.5,2.6,11.0,-0.085
