param,pre_median,post_median,delta,p_mannwhitney,n_pre,n_post
n_plateaus,11.0,12.0,1.0,0.1855,59,29
max_depth,4.0,4.0,0.0,0.1501,59,29
base_level,53.8,55.2,1.4,0.137,59,29
total_range,12.1,15.0,2.9,0.0046,59,29
dur_cv,0.645,0.616,-0.029,0.1568,59,29
count_cv,0.577,0.475,-0.102,0.0011,59,29
break_frac,0.545,0.583,0.038,0.2646,59,29
spacing_cv,0.725,0.726,0.001,0.8661,59,29
stack_symmetry,0.311,0.283,-0.028,0.4585,59,29
intra_dur_cv,0.77,0.776,0.006,0.4478,59,29
frac_high,0.738,1.318,0.58,0.0001,59,29
frac_vhigh,0.358,0.677,0.319,0.0031,59,29
n_d3,3.0,5.0,2.0,0.021,59,29
n_phases,23.0,22.0,-1.0,0.1629,59,29
mean_phase_dur,18.9,18.9,0.0,0.6927,59,29
phase_dur_cv,0.418,0.44,0.022,0.0811,59,29
mean_phase_std,3.42,4.03,0.61,0.0,59,29
std_ratio_2nd_1st,1.086,1.063,-0.023,0.3355,59,29
dur_ratio_2nd_1st,0.981,0.959,-0.022,0.8626,59,29
n_nadirs,22.0,21.0,-1.0,0.1629,59,29
nadir_mean,60.2,63.1,2.9,0.0004,59,29
nadir_std,3.5,4.25,0.75,0.0077,59,29
nadir_range,12.9,15.1,2.2,0.0099,59,29
nadir_slope,-0.319,-0.474,-0.155,0.0581,59,29
