cycle_position,param,mean,std,median,n,period
baseline,n_plateaus,12.022,3.049,12.0,45,ALL
baseline,max_depth,4.289,1.272,4.0,45,ALL
baseline,base_level,55.204,4.008,54.1,45,ALL
baseline,total_range,14.842,4.276,14.0,45,ALL
baseline,dur_cv,0.618,0.106,0.628,45,ALL
baseline,count_cv,0.551,0.126,0.516,45,ALL
baseline,break_frac,0.591,0.144,0.583,45,ALL
baseline,spacing_cv,0.765,0.175,0.731,45,ALL
baseline,stack_symmetry,0.332,0.122,0.303,45,ALL
baseline,intra_dur_cv,0.833,0.209,0.853,45,ALL
baseline,frac_high,1.234,0.621,1.181,45,ALL
baseline,frac_vhigh,0.682,0.499,0.6,45,ALL
baseline,n_d3,4.822,3.055,4.0,45,ALL
baseline,n_phases,22.8,4.165,22.0,45,ALL
baseline,mean_phase_dur,19.216,1.966,18.9,45,ALL
baseline,phase_dur_cv,0.442,0.082,0.44,45,ALL
baseline,mean_phase_std,3.662,0.445,3.64,45,ALL
baseline,std_ratio_2nd_1st,1.104,0.22,1.063,45,ALL
baseline,dur_ratio_2nd_1st,1.012,0.192,0.961,45,ALL
baseline,n_nadirs,21.8,4.165,21.0,45,ALL
baseline,nadir_mean,62.502,4.824,61.8,45,ALL
baseline,nadir_std,4.207,1.298,3.81,45,ALL
baseline,nadir_range,15.169,4.257,14.1,45,ALL
baseline,nadir_slope,-0.431,0.262,-0.372,45,ALL
day_minus2,n_plateaus,10.167,2.98,10.5,12,ALL
day_minus2,max_depth,4.083,1.165,4.0,12,ALL
day_minus2,base_level,54.642,2.598,54.6,12,ALL
day_minus2,total_range,13.533,3.996,13.95,12,ALL
day_minus2,dur_cv,0.632,0.143,0.624,12,ALL
day_minus2,count_cv,0.531,0.161,0.547,12,ALL
day_minus2,break_frac,0.512,0.136,0.55,12,ALL
day_minus2,spacing_cv,0.615,0.208,0.634,12,ALL
day_minus2,stack_symmetry,0.349,0.093,0.348,12,ALL
day_minus2,intra_dur_cv,0.737,0.214,0.81,12,ALL
day_minus2,frac_high,1.021,0.55,0.862,12,ALL
day_minus2,frac_vhigh,0.611,0.517,0.484,12,ALL
day_minus2,n_d3,3.583,2.314,3.0,12,ALL
day_minus2,n_phases,20.583,5.567,20.0,12,ALL
day_minus2,mean_phase_dur,19.567,2.597,19.1,12,ALL
day_minus2,phase_dur_cv,0.374,0.065,0.372,12,ALL
day_minus2,mean_phase_std,3.655,0.456,3.68,12,ALL
day_minus2,std_ratio_2nd_1st,0.997,0.133,0.975,12,ALL
day_minus2,dur_ratio_2nd_1st,0.992,0.273,0.938,12,ALL
day_minus2,n_nadirs,19.583,5.567,19.0,12,ALL
day_minus2,nadir_mean,61.167,2.864,60.9,12,ALL
day_minus2,nadir_std,4.178,1.063,4.06,12,ALL
day_minus2,nadir_range,14.133,3.568,14.3,12,ALL
day_minus2,nadir_slope,-0.419,0.333,-0.462,12,ALL
day_minus1,n_plateaus,11.429,2.344,12.0,14,ALL
day_minus1,max_depth,3.929,1.207,4.0,14,ALL
day_minus1,base_level,54.764,3.272,54.05,14,ALL
day_minus1,total_range,12.964,4.275,12.5,14,ALL
day_minus1,dur_cv,0.653,0.094,0.661,14,ALL
day_minus1,count_cv,0.593,0.121,0.575,14,ALL
day_minus1,break_frac,0.546,0.166,0.542,14,ALL
day_minus1,spacing_cv,0.689,0.207,0.687,14,ALL
day_minus1,stack_symmetry,0.297,0.082,0.308,14,ALL
day_minus1,intra_dur_cv,0.71,0.2,0.656,14,ALL
day_minus1,frac_high,0.9,0.503,0.838,14,ALL
day_minus1,frac_vhigh,0.444,0.333,0.384,14,ALL
day_minus1,n_d3,3.643,2.53,4.0,14,ALL
day_minus1,n_phases,23.0,4.095,23.0,14,ALL
day_minus1,mean_phase_dur,19.057,1.5,18.65,14,ALL
day_minus1,phase_dur_cv,0.429,0.085,0.438,14,ALL
day_minus1,mean_phase_std,3.523,0.531,3.43,14,ALL
day_minus1,std_ratio_2nd_1st,1.153,0.158,1.14,14,ALL
day_minus1,dur_ratio_2nd_1st,1.068,0.215,1.055,14,ALL
day_minus1,n_nadirs,22.0,4.095,22.0,14,ALL
day_minus1,nadir_mean,60.993,3.508,60.2,14,ALL
day_minus1,nadir_std,3.712,1.153,3.95,14,ALL
