time,HR,Dominance,Interference,HF,LF,VLF,ULF1,ULF2,PNN50
2026-04-23 22:11:00,78.4,-0.327,0.7,291.0,575.0,1850.0,2310.0,1760.0,3.85
2026-04-23 22:12:00,83.6,-0.296,0.7,293.0,540.0,1640.0,2330.0,1770.0,1.19
2026-04-23 22:13:00,75.8,-0.34,0.6,331.0,672.0,1610.0,2350.0,1780.0,2.67
2026-04-23 22:14:00,79.6,-0.334,0.6,393.0,787.0,1620.0,2370.0,1800.0,5.0
2026-04-23 22:15:00,78.4,-0.161,0.6,409.0,567.0,1580.0,2400.0,1810.0,7.69
2026-04-23 22:16:00,84.6,-0.181,0.6,330.0,475.0,1500.0,2420.0,1820.0,0.0
2026-04-23 22:17:00,77.9,-0.259,0.6,340.0,578.0,1400.0,2440.0,1830.0,3.85
2026-04-23 22:18:00,82.3,-0.468,0.6,287.0,792.0,1320.0,2470.0,1840.0,2.44
2026-04-23 22:19:00,82.2,-0.619,0.6,194.0,824.0,1260.0,2490.0,1860.0,2.47
2026-04-23 22:20:00,79.4,-0.559,0.6,212.0,750.0,1200.0,2510.0,1870.0,2.53
2026-04-23 22:21:00,77.7,-0.571,0.5,241.0,881.0,1140.0,2520.0,1880.0,5.13
2026-04-23 22:22:00,82.2,-0.486,0.5,250.0,722.0,1060.0,2520.0,1890.0,0.0
2026-04-23 22:23:00,75.7,-0.324,0.5,294.0,575.0,956.0,2520.0,1900.0,5.33
2026-04-23 22:24:00,79.5,-0.249,0.5,323.0,536.0,835.0,2540.0,1910.0,3.75
2026-04-23 22:25:00,77.5,-0.318,0.4,363.0,702.0,715.0,2560.0,1930.0,3.9
2026-04-23 22:26:00,79.2,-0.418,0.3,380.0,926.0,621.0,2570.0,1950.0,2.53
2026-04-23 22:27:00,78.7,-0.372,0.3,412.0,901.0,578.0,2570.0,1960.0,6.33
2026-04-23 22:28:00,78.7,-0.076,0.4,445.0,518.0,599.0,2540.0,1960.0,0.0
2026-04-23 22:29:00,77.7,0.0226,0.4,448.0,428.0,671.0,2530.0,1960.0,1.3
2026-04-23 22:30:00,76.2,-0.167,0.4,432.0,605.0,768.0,2560.0,1970.0,3.95
2026-04-23 22:31:00,76.6,-0.275,0.4,478.0,840.0,856.0,2590.0,1970.0,3.9
2026-04-23 22:32:00,77.8,-0.279,0.4,541.0,960.0,905.0,2620.0,1970.0,8.97
2026-04-23 22:33:00,75.6,-0.253,0.4,523.0,877.0,903.0,2650.0,1980.0,5.33
2026-04-23 22:34:00,73.6,-0.0637,0.4,548.0,622.0,874.0,2680.0,1950.0,10.8
2026-04-23 22:35:00,75.5,0.111,0.5,484.0,387.0,868.0,2730.0,1930.0,6.67
2026-04-23 22:36:00,77.1,0.365,0.6,493.0,229.0,938.0,2760.0,1970.0,6.49
2026-04-23 22:37:00,73.8,0.321,0.6,484.0,249.0,1120.0,2820.0,1910.0,4.11
2026-04-23 22:38:00,77.5,-0.126,0.6,421.0,542.0,1380.0,2870.0,1880.0,0.0
2026-04-23 22:39:00,76.3,-0.407,0.6,370.0,879.0,1650.0,2920.0,1820.0,5.26
2026-04-23 22:40:00,76.9,-0.448,0.6,324.0,849.0,1830.0,2970.0,1800.0,3.9
2026-04-23 22:41:00,82.9,-0.473,0.6,327.0,914.0,1830.0,3060.0,1680.0,2.41
2026-04-23 22:42:00,74.4,-0.266,0.6,436.0,751.0,1660.0,3170.0,1600.0,6.76
2026-04-23 22:43:00,75.0,0.0828,0.6,461.0,391.0,1380.0,3200.0,1670.0,0.0
2026-04-23 22:44:00,77.5,0.0326,0.6,428.0,401.0,1050.0,3240.0,1540.0,1.28
2026-04-23 22:45:00,77.0,-0.15,0.4,432.0,584.0,786.0,3310.0,1450.0,3.95
2026-04-23 22:46:00,77.2,-0.219,0.4,413.0,644.0,621.0,3390.0,1380.0,2.56
2026-04-23 22:47:00,79.1,-0.125,0.3,475.0,610.0,544.0,3450.0,1320.0,1.27
2026-04-23 22:48:00,78.2,0.0635,0.3,553.0,487.0,519.0,3500.0,1260.0,3.85
2026-04-23 22:49:00,75.9,0.0136,0.3,546.0,531.0,511.0,3500.0,1210.0,7.89
2026-04-23 22:50:00,76.8,-0.00137,0.3,511.0,512.0,513.0,3380.0,1080.0,3.95
2026-04-23 22:51:00,80.6,-0.000479,0.4,468.0,469.0,530.0,3270.0,1020.0,3.7
2026-04-23 22:52:00,79.9,-0.236,0.4,403.0,651.0,568.0,3200.0,1010.0,3.75
2026-04-23 22:53:00,80.7,-0.473,0.3,412.0,1150.0,618.0,3070.0,1040.0,7.5
2026-04-23 22:54:00,80.3,-0.473,0.3,413.0,1150.0,662.0,2950.0,1090.0,3.8
2026-04-23 22:55:00,76.1,-0.223,0.3,483.0,761.0,653.0,2810.0,1200.0,5.26
2026-04-23 22:56:00,77.0,0.0231,0.4,569.0,544.0,662.0,2760.0,1270.0,6.49
2026-04-23 22:57:00,80.3,-0.0731,0.4,463.0,536.0,624.0,2490.0,1460.0,1.25
2026-04-23 22:58:00,76.8,-0.411,0.3,425.0,1020.0,570.0,2230.0,1690.0,5.19
2026-04-23 22:59:00,80.0,-0.515,0.3,441.0,1380.0,643.0,2340.0,1680.0,6.25
2026-04-23 23:00:00,74.6,-0.564,0.2,417.0,1500.0,557.0,2440.0,1690.0,10.7
2026-04-23 23:01:00,68.2,-0.325,0.4,285.0,559.0,571.0,2470.0,1750.0,10.5
2026-04-23 23:02:00,76.9,-0.458,0.5,2200.0,5920.0,7770.0,1490.0,700.0,27.6
2026-04-23 23:03:00,64.5,-0.342,0.5,2390.0,4880.0,8680.0,1350.0,451.0,55.4
2026-04-23 23:04:00,76.3,-0.344,0.6,1910.0,3910.0,9110.0,1300.0,313.0,21.1
2026-04-23 23:05:00,72.4,-0.202,0.6,2270.0,3420.0,9090.0,1170.0,239.0,32.9
2026-04-23 23:06:00,70.8,-0.143,0.6,2290.0,3050.0,8640.0,915.0,183.0,35.7
2026-04-23 23:07:00,75.6,-0.217,0.7,1080.0,1670.0,7850.0,432.0,93.1,7.89
2026-04-23 23:08:00,77.2,-0.557,0.6,841.0,2950.0,6810.0,422.0,93.7,10.4
2026-04-23 23:09:00,74.0,-0.615,0.5,1080.0,4530.0,5700.0,396.0,103.0,25.7
2026-04-23 23:10:00,72.9,-0.575,0.6,780.0,2890.0,4650.0,394.0,117.0,9.59
2026-04-23 23:11:00,82.3,-0.654,0.6,530.0,2530.0,3790.0,398.0,129.0,3.66
2026-04-23 23:12:00,74.7,-0.726,0.5,425.0,2680.0,3150.0,407.0,144.0,15.1
2026-04-23 23:13:00,83.8,-0.638,0.7,228.0,1030.0,2740.0,425.0,142.0,1.19
2026-04-23 23:14:00,80.0,-0.446,0.8,215.0,562.0,2460.0,408.0,163.0,2.5
2026-04-23 23:15:00,79.6,-0.329,0.6,436.0,863.0,2230.0,422.0,189.0,3.75
2026-04-23 23:16:00,72.9,-0.359,0.5,640.0,1360.0,2000.0,429.0,196.0,25.0
2026-04-23 23:17:00,78.4,-0.308,0.6,472.0,893.0,1740.0,427.0,183.0,3.8
2026-04-23 23:18:00,76.7,-0.234,0.6,398.0,641.0,1490.0,414.0,194.0,1.32
2026-04-23 23:19:00,74.2,-0.393,0.5,451.0,1040.0,1290.0,406.0,224.0,9.33
2026-04-23 23:20:00,76.7,-0.355,0.5,379.0,796.0,1160.0,530.0,291.0,3.95
2026-04-23 23:21:00,78.6,-0.11,0.6,288.0,359.0,1120.0,631.0,352.0,1.27
2026-04-23 23:22:00,77.5,-0.186,0.5,396.0,577.0,1140.0,834.0,502.0,1.3
2026-04-23 23:23:00,77.2,-0.186,0.5,563.0,820.0,1170.0,1140.0,748.0,7.79
2026-04-23 23:24:00,79.4,-0.153,0.5,502.0,684.0,1170.0,1210.0,769.0,2.5
2026-04-23 23:25:00,74.9,-0.221,0.5,376.0,589.0,1120.0,1300.0,696.0,5.41
2026-04-23 23:26:00,77.2,-0.155,0.6,298.0,408.0,1060.0,1410.0,653.0,1.3
2026-04-23 23:27:00,78.2,0.0851,0.5,463.0,391.0,1010.0,1750.0,572.0,2.53
2026-04-23 23:28:00,74.3,0.11,0.5,581.0,465.0,1010.0,2009.9999999999998,536.0,9.59
2026-04-23 23:29:00,72.8,-0.105,0.5,433.0,534.0,1090.0,2310.0,535.0,1.35
2026-04-23 23:30:00,79.0,-0.473,0.5,279.0,780.0,1240.0,2470.0,560.0,5.19
2026-04-23 23:31:00,77.0,-0.315,0.6,283.0,542.0,1470.0,2670.0,638.0,0.0
2026-04-23 23:32:00,75.5,0.143,0.7,409.0,307.0,1770.0,2840.0,742.0,3.95
2026-04-23 23:33:00,73.9,0.115,0.7,455.0,362.0,2080.0,2980.0,888.0,4.11
2026-04-23 23:34:00,80.3,-0.201,0.7,381.0,573.0,2300.0,3050.0,1050.0,2.47
2026-04-23 23:35:00,73.4,-0.455,0.7,285.0,760.0,2360.0,3090.0,1250.0,8.22
2026-04-23 23:36:00,76.4,-0.518,0.7,265.0,835.0,2200.0,3110.0,1420.0,1.32
2026-04-23 23:37:00,75.7,-0.378,0.6,323.0,715.0,1860.0,3100.0,1600.0,5.26
2026-04-23 23:38:00,75.1,-0.286,0.6,342.0,616.0,1470.0,3060.0,1760.0,8.0
2026-04-23 23:39:00,76.2,-0.288,0.6,279.0,504.0,1140.0,3000.0,1910.0,0.0
2026-04-23 23:40:00,73.7,-0.233,0.6,269.0,433.0,982.0,2940.0,2090.0,1.35
2026-04-23 23:41:00,76.6,-0.289,0.6,283.0,512.0,998.0,2910.0,2210.0,2.63
2026-04-23 23:42:00,75.2,-0.284,0.6,285.0,510.0,1150.0,2870.0,2330.0,2.67
2026-04-23 23:43:00,79.2,-0.483,0.6,274.0,787.0,1380.0,2810.0,2450.0,2.5
2026-04-23 23:44:00,74.6,-0.512,0.6,283.0,876.0,1610.0,2770.0,2530.0,5.41
2026-04-23 23:45:00,76.9,-0.38,0.6,339.0,754.0,1780.0,2730.0,2610.0,6.49
2026-04-23 23:46:00,70.8,-0.238,0.6,438.0,712.0,1820.0,2710.0,2680.0,7.04
2026-04-23 23:47:00,74.9,-0.14,0.6,506.0,671.0,1700.0,2700.0,2740.0,8.11
2026-04-23 23:48:00,71.2,-0.0869,0.6,503.0,599.0,1460.0,2690.0,2780.0,10.0
2026-04-23 23:49:00,71.5,-0.149,0.5,461.0,622.0,1170.0,2680.0,2800.0,6.94
2026-04-23 23:50:00,73.9,-0.3,0.4,394.0,732.0,895.0,2670.0,2830.0,8.11
2026-04-23 23:51:00,72.7,-0.494,0.3,355.0,1050.0,702.0,2670.0,2840.0,11.1
2026-04-23 23:52:00,75.0,-0.451,0.4,314.0,829.0,616.0,2680.0,2870.0,4.0
2026-04-23 23:53:00,73.7,-0.148,0.4,395.0,532.0,617.0,2690.0,2870.0,4.05
2026-04-23 23:54:00,72.1,-0.207,0.4,507.0,771.0,691.0,2690.0,2880.0,9.72
2026-04-23 23:55:00,70.5,-0.179,0.4,600.0,863.0,841.0,2690.0,2890.0,17.1
2026-04-23 23:56:00,72.3,-0.045,0.5,561.0,614.0,1110.0,2700.0,2880.0,9.59
2026-04-23 23:57:00,73.1,-0.214,0.6,436.0,674.0,1490.0,2720.0,2880.0,6.85
2026-04-23 23:58:00,77.3,-0.359,0.6,468.0,993.0,1900.0,2720.0,2880.0,6.49
2026-04-23 23:59:00,76.1,-0.39,0.6,470.0,1070.0,2240.0,2720.0,2880.0,10.5
2026-04-24 00:00:00,76.7,-0.398,0.6,526.0,1220.0,2400.0,2720.0,2890.0,6.58
2026-04-24 00:01:00,69.3,-0.182,0.6,681.0,984.0,2350.0,2750.0,2880.0,15.7
2026-04-24 00:02:00,73.2,-0.171,0.5,739.0,1040.0,2140.0,2750.0,2890.0,12.5
2026-04-24 00:03:00,77.4,-0.223,0.5,651.0,1020.0,1850.0,2720.0,2900.0,10.3
2026-04-24 00:04:00,76.9,-0.357,0.5,434.0,915.0,1580.0,2640.0,2870.0,0.0
2026-04-24 00:05:00,78.5,-0.554,0.4,427.0,1490.0,1360.0,2620.0,2880.0,13.0
2026-04-24 00:06:00,73.9,-0.492,0.4,516.0,1520.0,1190.0,2560.0,2880.0,4.05
2026-04-24 00:07:00,78.2,-0.364,0.4,536.0,1150.0,1100.0,2520.0,2880.0,11.5
2026-04-24 00:08:00,76.6,-0.302,0.5,394.0,734.0,1140.0,2540.0,2920.0,1.3
2026-04-24 00:09:00,78.1,-0.334,0.6,350.0,700.0,1330.0,2520.0,2910.0,5.13
2026-04-24 00:10:00,77.8,-0.387,0.6,292.0,661.0,1650.0,2550.0,2910.0,1.3
2026-04-24 00:11:00,78.6,-0.435,0.7,277.0,703.0,2009.9999999999998,2630.0,2920.0,1.27
2026-04-24 00:12:00,77.3,-0.426,0.6,377.0,936.0,2280.0,2700.0,2950.0,9.09
2026-04-24 00:13:00,78.6,-0.371,0.7,313.0,683.0,2370.0,2730.0,2970.0,3.8
2026-04-24 00:14:00,82.0,-0.415,0.8,204.0,494.0,2330.0,2730.0,3040.0,1.22
2026-04-24 00:15:00,76.6,-0.467,0.7,272.0,749.0,2290.0,2730.0,3060.0,2.63
2026-04-24 00:16:00,75.4,-0.312,0.7,386.0,737.0,2430.0,2750.0,3110.0,11.8
2026-04-24 00:17:00,78.2,-0.316,0.7,371.0,715.0,2800.0,2770.0,3120.0,2.56
2026-04-24 00:18:00,85.0,-0.642,0.6,442.0,2029.9999999999998,3440.0,2770.0,3170.0,1.18
2026-04-24 00:19:00,90.7,-0.78,0.5,535.0,4320.0,4300.0,2760.0,3210.0,15.6
2026-04-24 00:20:00,86.0,-0.792,0.6,376.0,3240.0,5200.0,2750.0,3240.0,5.81
2026-04-24 00:21:00,98.2,-0.706,0.8,260.0,1510.0,6020.0,2760.0,3230.0,5.15
2026-04-24 00:22:00,104.0,-0.574,0.8,373.0,1380.0,6570.0,2770.0,3210.0,0.0
2026-04-24 00:23:00,80.5,-0.291,0.6,1370.0,2490.0,6710.0,2800.0,3190.0,12.7
2026-04-24 00:24:00,69.9,-0.219,0.5,2130.0,3320.0,6380.0,2820.0,3170.0,36.2
2026-04-24 00:25:00,72.3,-0.262,0.6,1650.0,2820.0,5670.0,2830.0,3160.0,13.7
2026-04-24 00:26:00,62.4,-0.0155,0.6,1590.0,1640.0,4810.0,2890.0,3120.0,37.1
2026-04-24 00:27:00,63.9,0.377,0.6,1870.0,846.0,4000.0,2910.0,3130.0,37.5
2026-04-24 00:28:00,60.1,0.472,0.5,2250.0,809.0,3360.0,2950.0,3140.0,45.0
2026-04-24 00:29:00,66.1,0.313,0.4,2480.0,1300.0,2860.0,2960.0,3120.0,36.4
2026-04-24 00:30:00,60.1,0.301,0.4,2450.0,1320.0,2410.0,2970.0,3110.0,46.7
2026-04-24 00:31:00,61.7,0.229,0.4,1780.0,1120.0,1970.0,2980.0,3120.0,27.4
2026-04-24 00:32:00,60.4,0.147,0.3,1670.0,1240.0,1540.0,3020.0,3130.0,41.7
2026-04-24 00:33:00,61.4,0.165,0.3,1690.0,1210.0,1190.0,3020.0,3130.0,36.1
2026-04-24 00:34:00,60.4,0.126,0.2,2470.0,1920.0,967.0,3010.0,3130.0,34.4
2026-04-24 00:35:00,63.1,0.189,0.1,3460.0,2360.0,855.0,3020.0,3140.0,42.9
2026-04-24 00:36:00,62.3,0.291,0.2,2750.0,1510.0,801.0,3000.0,3140.0,45.2
