ts,STAGE,datetime,stage_label,datetime_local
1733615580,3,2024-12-07 23:53:00,Light,2024-12-08 00:53
1733617260,2,2024-12-08 00:21:00,REM,2024-12-08 01:21
1733617740,4,2024-12-08 00:29:00,Deep,2024-12-08 01:29
1733618040,4,2024-12-08 00:34:00,Deep,2024-12-08 01:34
1733618160,4,2024-12-08 00:36:00,Deep,2024-12-08 01:36
1733618640,2,2024-12-08 00:44:00,REM,2024-12-08 01:44
1733619060,3,2024-12-08 00:51:00,Light,2024-12-08 01:51
1733619660,4,2024-12-08 01:01:00,Deep,2024-12-08 02:01
1733619960,4,2024-12-08 01:06:00,Deep,2024-12-08 02:06
1733620380,3,2024-12-08 01:13:00,Light,2024-12-08 02:13
1733620620,3,2024-12-08 01:17:00,Light,2024-12-08 02:17
1733621820,4,2024-12-08 01:37:00,Deep,2024-12-08 02:37
1733621940,4,2024-12-08 01:39:00,Deep,2024-12-08 02:39
1733622180,4,2024-12-08 01:43:00,Deep,2024-12-08 02:43
1733622360,2,2024-12-08 01:46:00,REM,2024-12-08 02:46
1733623080,3,2024-12-08 01:58:00,Light,2024-12-08 02:58
1733623440,4,2024-12-08 02:04:00,Deep,2024-12-08 03:04
1733623680,2,2024-12-08 02:08:00,REM,2024-12-08 03:08
1733623980,3,2024-12-08 02:13:00,Light,2024-12-08 03:13
1733624700,3,2024-12-08 02:25:00,Light,2024-12-08 03:25
1733625060,4,2024-12-08 02:31:00,Deep,2024-12-08 03:31
1733625240,4,2024-12-08 02:34:00,Deep,2024-12-08 03:34
1733625360,4,2024-12-08 02:36:00,Deep,2024-12-08 03:36
1733625600,2,2024-12-08 02:40:00,REM,2024-12-08 03:40
1733625960,3,2024-12-08 02:46:00,Light,2024-12-08 03:46
1733626260,4,2024-12-08 02:51:00,Deep,2024-12-08 03:51
1733626320,4,2024-12-08 02:52:00,Deep,2024-12-08 03:52
1733626380,4,2024-12-08 02:53:00,Deep,2024-12-08 03:53
1733626620,2,2024-12-08 02:57:00,REM,2024-12-08 03:57
1733627160,3,2024-12-08 03:06:00,Light,2024-12-08 04:06
1733627460,4,2024-12-08 03:11:00,Deep,2024-12-08 04:11
1733627760,4,2024-12-08 03:16:00,Deep,2024-12-08 04:16
1733627940,4,2024-12-08 03:19:00,Deep,2024-12-08 04:19
1733628120,2,2024-12-08 03:22:00,REM,2024-12-08 04:22
1733628420,3,2024-12-08 03:27:00,Light,2024-12-08 04:27
1733629020,4,2024-12-08 03:37:00,Deep,2024-12-08 04:37
1733629140,3,2024-12-08 03:39:00,Light,2024-12-08 04:39
1733629200,4,2024-12-08 03:40:00,Deep,2024-12-08 04:40
1733629380,3,2024-12-08 03:43:00,Light,2024-12-08 04:43
1733631180,4,2024-12-08 04:13:00,Deep,2024-12-08 05:13
