freq_hz,period_s,power_ms2hz,tier
5.00000000e-07,2.0000e+06,1.503242e+09,circadian
6.24530663e-07,1.6012e+06,1.504194e+09,circadian
7.49061327e-07,1.3350e+06,1.505361e+09,circadian
8.73591990e-07,1.1447e+06,1.506744e+09,circadian
9.98122653e-07,1.0019e+06,1.508346e+09,circadian
1.12265332e-06,8.9075e+05,1.510171e+09,circadian
1.24718398e-06,8.0181e+05,1.512222e+09,circadian
1.37171464e-06,7.2901e+05,1.514504e+09,circadian
1.49624531e-06,6.6834e+05,1.517019e+09,circadian
1.62077597e-06,6.1699e+05,1.519775e+09,circadian
1.74530663e-06,5.7297e+05,1.522775e+09,circadian
1.86983730e-06,5.3481e+05,1.526028e+09,circadian
1.99436796e-06,5.0141e+05,1.529539e+09,circadian
2.11889862e-06,4.7194e+05,1.533315e+09,circadian
2.24342929e-06,4.4575e+05,1.537366e+09,circadian
2.36795995e-06,4.2230e+05,1.541700e+09,circadian
2.49249061e-06,4.0121e+05,1.546327e+09,circadian
2.61702128e-06,3.8211e+05,1.551258e+09,circadian
2.74155194e-06,3.6476e+05,1.556504e+09,circadian
2.86608260e-06,3.4891e+05,1.562078e+09,circadian
2.99061327e-06,3.3438e+05,1.567993e+09,circadian
3.11514393e-06,3.2101e+05,1.574265e+09,circadian
3.23967459e-06,3.0867e+05,1.580909e+09,circadian
3.36420526e-06,2.9725e+05,1.587943e+09,circadian
3.48873592e-06,2.8664e+05,1.595385e+09,circadian
3.61326658e-06,2.7676e+05,1.603257e+09,circadian
3.73779725e-06,2.6754e+05,1.611579e+09,circadian
3.86232791e-06,2.5891e+05,1.620377e+09,circadian
3.98685857e-06,2.5082e+05,1.629675e+09,circadian
4.11138924e-06,2.4323e+05,1.639501e+09,circadian
4.23591990e-06,2.3608e+05,1.649886e+09,circadian
4.36045056e-06,2.2933e+05,1.660862e+09,circadian
4.48498123e-06,2.2297e+05,1.672463e+09,circadian
4.60951189e-06,2.1694e+05,1.684728e+09,circadian
4.73404255e-06,2.1124e+05,1.697696e+09,circadian
4.85857322e-06,2.0582e+05,1.711412e+09,circadian
4.98310388e-06,2.0068e+05,1.725921e+09,circadian
5.10763454e-06,1.9579e+05,1.741274e+09,circadian
5.23216521e-06,1.9113e+05,1.757524e+09,circadian
5.35669587e-06,1.8668e+05,1.774729e+09,circadian
5.48122653e-06,1.8244e+05,1.792949e+09,circadian
5.60575720e-06,1.7839e+05,1.812249e+09,circadian
5.73028786e-06,1.7451e+05,1.832697e+09,circadian
5.85481852e-06,1.7080e+05,1.854366e+09,circadian
5.97934919e-06,1.6724e+05,1.877330e+09,circadian
