rank,freq_hz,period_s,period_human,power_ms2hz,log_prominence_dex,fwhm_hz,canonical_band,tier
1,3.38923655e-01,2.9505e+00,2.95s,1.255117e+04,0.3674,3.039453e-03,HF,hf_lf
2,2.55306633e-05,3.9169e+04,10.88h,1.628369e+08,0.3512,3.204424e-06,ultraslow,circadian
3,4.01007509e-03,2.4937e+02,4.16min,4.580773e+05,0.2353,2.147773e-04,VLF,vlf_ulf
4,1.79705882e-01,5.5646e+00,5.56s,2.139198e+04,0.2040,8.612321e-03,HF,hf_lf
5,3.12590738e-03,3.1991e+02,5.33min,5.212168e+05,0.1623,8.033070e-05,ULF,vlf_ulf
6,2.20438048e-03,4.5364e+02,7.56min,7.169137e+05,0.1421,3.113594e-05,ULF,vlf_ulf
7,1.60663329e-03,6.2242e+02,10.37min,9.052868e+05,0.1383,2.397459e-05,ULF,vlf_ulf
8,7.39730914e-05,1.3518e+04,3.76h,2.392748e+08,0.1372,4.844738e-05,ultraslow,circadian
9,9.42115144e-02,1.0614e+01,10.61s,2.341778e+04,0.1269,4.885998e-03,LF,hf_lf
10,4.58291615e-05,2.1820e+04,6.06h,2.261187e+08,0.1241,4.860687e-06,ultraslow,circadian
11,1.17077597e-05,8.5413e+04,23.73h,4.064109e+09,0.1226,9.714312e-07,circadian,circadian
12,4.02115144e-01,2.4868e+00,2.49s,6.163448e+03,0.1099,6.226111e-03,supra-HF,hf_lf
13,3.69899875e-01,2.7034e+00,2.70s,6.442528e+03,0.1088,3.436503e-03,HF,hf_lf
14,5.87803504e-05,1.7012e+04,4.73h,1.291022e+08,0.1067,1.070192e-05,ultraslow,circadian
15,4.46101377e-01,2.2416e+00,2.24s,6.363852e+03,0.1011,4.577319e-03,supra-HF,hf_lf
16,2.43516896e-01,4.1065e+00,4.11s,6.603253e+03,0.0891,3.624936e-03,HF,hf_lf
17,7.59824781e-04,1.3161e+03,21.93min,1.921626e+06,0.0802,9.740656e-06,ULF,vlf_ulf
